name,iso_country,municipality,icao_code,iata_code,coordinates
Honiara International Airport,SB,Honiara,AGGH,HIR,"160.05499267578, -9.4280004501343"
Hongyuan Airport,CN,Aba,ZUHY,AHJ,"102.35224, 32.53154"
Nauru International Airport,NR,Yaren District,ANYN,INU,"166.919006, -0.547458"
Alxa Left Banner Bayanhot Airport,CN,Bayanhot,ZBAL,AXF,"105.58858, 38.74831"
Buka Airport,PG,Buka Island,AYBK,BUA,"154.67300415039062, -5.4223198890686035"
Chimbu Airport,PG,Kundiawa,AYCH,CMU,"144.9709930419922, -6.024290084838867"
Daru Airport,PG,Daru,AYDU,DAU,"143.207992554, -9.08675956726"
Goroka Airport,PG,Goronka,AYGA,GKA,"145.391998291, -6.081689834590001"
Gurney Airport,PG,Gurney,AYGN,GUR,"150.333999634, -10.3114995956"
Girua Airport,PG,Popondetta,AYGR,PNP,"148.309005737, -8.80453968048"
Kimbe Airport,PG,Hoskins,AYHK,HKN,"150.40499877929688, -5.462170124053955"
"Moss Airport, Rygge",NO,Oslo,ENRY,RYG,"10.785439, 59.378817"